DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;RGP2012;RGP2007;RGP1999
77132;11;77;775;7743;Coupvray;2607;2790;2713
77133;11;77;773;7720;Courcelles-en-Bass?e;239;218;204
77134;11;77;773;7729;Courchamp;153;153;163
77135;11;77;773;7727;Courpalay;1425;1374;1269
77136;11;77;772;7728;Courquetaine;202;189;173
77137;11;77;773;7729;Courtacon;232;190;179
77138;11;77;772;7722;Courtomer;529;545;554
77139;11;77;775;7706;Courtry;6403;5989;6036
77140;11;77;773;7710;Coutençon;290;252;229
77141;11;77;771;7708;Coutevroult;1059;792;536
77142;11;77;771;7708;Cr?cy-la-Chapelle;4251;4056;3851
77143;11;77;771;7717;Cr?gy-lès-Meaux;4533;4222;3677
77144;11;77;773;7727;Crèvecoeur-en-Brie;332;308;299
77145;11;77;772;7722;Crisenoy;635;639;604
77146;11;77;775;7735;Croissy-Beaubourg;2005;2077;2236
77147;11;77;773;7723;La Croix-en-Brie;671;661;651
77148;11;77;771;7715;Crouy-sur-Ourcq;1798;1692;1585
77149;11;77;773;7725;Cucharmoy;231;237;223
77150;11;77;771;7709;Cuisy;436;445;374
77151;11;77;773;7711;Dagny;334;340;322
77152;11;77;772;7732;Dammarie-les-Lys;20892;20526;20659
77153;11;77;771;7709;Dammartin-en-Go‘le;8464;7967;7805
77154;11;77;773;7727;Dammartin-sur-Tigeaux;935;825;731
77155;11;77;775;7743;Dampmart;3179;3092;2754
77156;11;77;774;7724;Darvault;827;784;778
77157;11;77;771;7715;Dhuisy;290;259;241
77158;11;77;774;7716;Diant;187;208;189
77159;11;77;773;7710;Donnemarie-Dontilly;2876;2760;2628
77161;11;77;774;7721;Dormelles;841;852;791
77162;11;77;773;7726;Doue;1004;1002;1028
77163;11;77;771;7715;Douy-la-Ram?e;312;282;234
77164;11;77;772;7705;ƒchouboulains;520;528;516
77165;11;77;772;7705;Les ƒcrennes;605;618;638
77166;11;77;774;7721;ƒcuelles;2489;2543;2463
77167;11;77;773;7710;ƒgligny;317;330;275
77168;11;77;774;7716;ƒgreville;2167;2109;1841
77169;11;77;775;7738;ƒmerainville;7355;7152;7027
77170;11;77;774;7721;ƒpisy;539;503;491
77171;11;77;771;7708;Esbly;6004;5552;5131
77172;11;77;773;7720;Esmans;893;862;875
77173;11;77;771;7715;ƒtr?pilly;851;817;812
77174;11;77;773;7701;Everly;606;605;569
77175;11;77;772;7702;ƒvry-Gr?gy-sur-Yerre;2572;2262;2041
77176;11;77;771;7707;Faremoutiers;2496;2402;2287
77177;11;77;772;7728;Favières;1093;1083;941
77178;11;77;774;7724;FaØ-lès-Nemours;482;451;430
77179;11;77;772;7705;F?ricy;581;632;506
77180;11;77;772;7702;F?rolles-Attilly;1146;1103;1032
77181;11;77;775;7735;Ferrières-en-Brie;2288;2138;1655
77182;11;77;773;7711;La Fert?-Gaucher;4691;4092;4150
77183;11;77;771;7712;La Fert?-sous-Jouarre;9363;8982;8584
77184;11;77;774;7716;Flagy;645;626;534
77185;11;77;772;7732;Fleury-en-Bière;646;623;546
77186;11;77;774;7713;Fontainebleau;14908;15740;15942
77187;11;77;773;7701;Fontaine-Fourches;595;563;509
77188;11;77;772;7705;Fontaine-le-Port;941;924;836
77190;11;77;773;7723;Fontains;244;262;247
77191;11;77;772;7722;Fontenailles;1064;995;887
77192;11;77;773;7727;Fontenay-Tr?signy;5267;5015;4620
77193;11;77;771;7709;Forfry;274;245;183
77194;11;77;773;7720;Forges;418;405;345
77195;11;77;772;7722;Fouju;579;484;523
77196;11;77;771;7737;Fresnes-sur-Marne;670;652;441
77197;11;77;773;7723;Fr?toy;156;152;113
77198;11;77;774;7703;Fromont;209;229;157
77199;11;77;771;7731;Fublaines;1148;1170;1011
77200;11;77;774;7724;Garentreville;104;99;79
77201;11;77;773;7723;Gastins;700;639;585
77202;11;77;774;7724;La Genevraye;616;637;579
77203;11;77;771;7717;Germigny-l'ƒvêque;1359;1276;1356
77204;11;77;771;7715;Germigny-sous-Coulombs;206;194;166
77205;11;77;771;7709;Gesvres-le-Chapitre;162;161;141
77206;11;77;771;7707;Giremoutiers;147;132;106
77207;11;77;774;7704;Gironville;161;193;172
77208;11;77;773;7701;Gouaix;1446;1419;1393
77209;11;77;775;7714;Gouvernes;1108;1083;1024
77210;11;77;773;7720;La Grande-Paroisse;2652;2532;2491
77211;11;77;772;7722;Grandpuits-Bailly-Carrois;1013;975;953
77212;11;77;773;7701;Gravon;149;136;115
77214;11;77;771;7737;Gressy;893;908;813
77215;11;77;772;7728;Gretz-Armainvilliers;8237;7796;7613
77216;11;77;774;7724;Grez-sur-Loing;1420;1354;1277
77217;11;77;772;7702;Grisy-Suisnes;2363;2287;1989
77218;11;77;773;7701;Grisy-sur-Seine;103;103;102
77219;11;77;771;7707;Gu?rard;2263;2166;1970
77220;11;77;774;7703;Guercheville;287;285;233
77221;11;77;775;7743;Guermantes;1191;1289;1392
77222;11;77;772;7722;Guignes;3361;3043;2412
77223;11;77;773;7710;Gurcy-le-Ch‰tel;575;514;384
77224;11;77;773;7727;Hautefeuille;319;320;207
77225;11;77;771;7708;La Haute-Maison;364;256;220
77226;11;77;774;7713;H?ricy;2504;2585;2519
77227;11;77;773;7701;Herm?;643;569;525
77228;11;77;773;7726;Hondevilliers;246;242;215
77229;11;77;773;7727;La Houssaye-en-Brie;1627;1606;1456
77230;11;77;774;7704;Ichy;183;154;171
77231;11;77;771;7715;Isles-les-Meldeuses;781;739;602
77232;11;77;771;7731;Isles-lès-Villenoy;915;865;687
77233;11;77;771;7737;Iverny;581;598;488
77234;11;77;775;7743;Jablines;660;628;574
77235;11;77;771;7715;Jaignes;276;329;310
77236;11;77;773;7701;Jaulnes;367;333;319
77237;11;77;775;7743;Jossigny;642;652;530
77238;11;77;771;7712;Jouarre;4180;4085;3415
77239;11;77;773;7723;Jouy-le-Ch‰tel;1501;1418;1392
77240;11;77;773;7711;Jouy-sur-Morin;2176;1999;1929
77241;11;77;771;7709;Juilly;2205;1794;1448
77242;11;77;773;7710;Jutigny;544;566;528
77243;11;77;775;7714;Lagny-sur-Marne;20328;20401;19368
77244;11;77;774;7703;Larchant;753;728;695
77245;11;77;773;7720;Laval-en-Brie;462;456;379
77246;11;77;773;7729;L?chelle;563;533;525
77247;11;77;773;7711;Lescherolles;484;469;418
77248;11;77;775;7743;Lesches;693;664;534
77249;11;77;772;7702;L?signy;7425;7553;7647
77250;11;77;773;7711;Leudon-en-Brie;164;122;144
77251;11;77;772;7741;Lieusaint;10508;9783;6365
77252;11;77;772;7702;Limoges-Fourches;462;439;297
77253;11;77;772;7702;Lissy;198;190;171
77254;11;77;772;7728;Liverdy-en-Brie;1304;1197;1031
77255;11;77;772;7719;Livry-sur-Seine;1925;1898;1880
77256;11;77;773;7710;Lizines;179;165;155
77257;11;77;771;7715;Lizy-sur-Ourcq;3617;3449;3377
77258;11;77;775;7739;Lognes;14575;14738;14215
77259;11;77;771;7709;Longperrier;2474;2309;2071
77260;11;77;773;7725;Longueville;1785;1625;1692
77261;11;77;774;7716;Lorrez-le-Bocage-Pr?aux;1267;1249;1265
77262;11;77;773;7729;Louan-Villegruis-Fontaine;524;508;421
77263;11;77;773;7710;Luisetaines;240;220;208
