"","decoup2008","insee","C_VILLENOU"
"383",3,91326,NA
"384",2,92050,NA
"385",2,93001,NA
"386",2,94022,NA
"387",2,78481,NA
"388",1,92049,NA
"389",2,92035,NA
"390",2,77083,3
"391",5,77014,NA
"392",5,77284,NA
"393",2,94033,NA
"394",2,93027,NA
"395",3,91687,NA
"396",3,78172,NA
"397",2,92019,NA
"398",2,94003,NA
"399",3,95197,NA
"400",1,94052,NA
"401",2,91377,NA
"402",4,77514,NA
"403",3,77373,NA
"404",2,92014,NA
"405",3,95607,NA
"406",2,94034,NA
"407",2,92048,NA
"408",4,78015,NA
"409",3,95572,1
"410",2,91692,NA
"411",2,94076,NA
"412",2,93050,NA
"413",2,92020,NA
"414",3,77258,3
"415",2,95268,NA
"416",3,95582,NA
"417",1,93055,NA
"418",2,94016,NA
"419",2,93070,NA
"420",3,77445,4
"421",4,77390,NA
"422",4,78242,NA
"423",3,95424,NA
"424",3,95306,NA
"425",3,93078,NA
"426",4,78123,NA
"427",4,77294,NA
"428",2,95585,NA
"429",2,91286,NA
"430",3,78383,NA
"431",3,94078,NA
"432",2,92002,NA
"433",3,91421,NA
"434",3,94059,NA
"435",1,92062,NA
"436",3,93047,NA
"437",3,78551,NA
"438",2,93066,NA
"439",2,95063,NA
"440",3,91589,NA
"441",3,94077,NA
"442",3,91182,2
"443",4,78490,NA
"444",2,92075,NA
"445",2,93014,NA
"446",3,78621,5
"447",2,93010,NA
"448",3,93032,NA
"449",3,78165,NA
"450",4,77122,4
"451",4,95539,NA
"452",2,93064,NA
"453",1,94033,NA
"454",3,78124,NA
"455",2,92073,NA
"456",2,93008,NA
"457",3,95428,NA
"458",2,93053,NA
"459",3,78358,NA
"460",3,94021,NA
"461",5,77186,NA
"462",2,92033,NA
"463",2,92078,NA
"464",3,91345,NA
"465",2,95555,NA
"466",2,92007,NA
"467",2,95127,1
"468",3,93014,NA
"469",2,94037,NA
"470",4,77296,4
"471",2,93071,NA
"472",3,77243,3
"473",2,92022,NA
"474",3,93046,NA
"475",3,91477,NA
"476",3,91215,NA
"477",3,95203,NA
"478",3,78126,NA
"479",2,78423,5
"480",3,95176,NA
"481",3,91272,NA
"482",2,77337,3
"483",5,77333,NA
"484",3,91114,NA
"485",2,92046,NA
"486",2,93006,0
"487",2,95018,NA
"488",3,78073,NA
"489",3,94004,NA
"490",3,93030,NA
"491",2,78686,NA
"492",3,93049,NA
"493",3,94011,NA
"494",5,77305,NA
"495",3,95219,NA
"496",3,78481,NA
"497",4,94060,NA
"498",3,78372,NA
"499",3,91570,NA
"500",3,78642,NA
"501",3,78440,NA
"502",2,78372,NA
"503",3,93007,NA
"504",3,95427,NA
"505",3,91434,NA
"506",3,94019,NA
"507",2,95210,NA
"508",1,93048,NA
"509",4,91103,NA
"510",2,92026,NA
"511",3,77350,NA
"512",3,91216,NA
"513",3,77285,NA
"514",2,92062,NA
"515",5,77379,NA
"516",3,95500,1
"517",2,94042,NA
"518",3,91201,NA
"519",2,93031,NA
"520",2,93049,NA
"521",3,77152,NA
"522",3,91021,NA
"523",3,94071,NA
"524",3,91432,NA
"525",3,91657,NA
"526",4,93073,NA
"527",3,94054,NA
"528",3,77479,NA
"529",4,78418,NA
"530",3,78498,NA
"531",3,91027,NA
"532",4,95323,1
"533",2,93013,NA
"534",3,78545,NA
"535",4,91021,NA
"536",2,91215,NA
"537",3,95637,1
"538",3,91312,NA
"539",5,91223,NA
"540",1,92073,NA
"541",5,91200,NA
"542",3,91645,NA
"543",4,77407,NA
"544",3,95199,NA
"545",3,95563,NA
"546",1,93001,NA
"547",2,94054,NA
"548",2,78361,NA
"549",3,77288,NA
"550",4,78005,NA
"551",3,93051,3
"552",3,95313,NA
"553",1,92046,NA
"554",2,92040,NA
"555",2,92049,NA
"556",3,94074,NA
"557",3,78423,5
"558",2,93057,NA
"559",3,91692,NA
"560",5,78517,NA
"561",3,93050,NA
"562",3,78688,5
"563",5,77131,NA
"564",2,94021,NA
"565",1,93045,NA
"566",4,95280,NA
"567",4,91386,NA
"568",3,92004,NA
"569",3,95598,NA
"570",2,78126,NA
"571",3,78190,NA
"572",4,78029,NA
"573",2,93079,NA
"574",3,78362,NA
"575",3,94042,NA
"576",3,93031,NA
"577",4,78624,NA
"578",5,95487,NA
"579",3,94017,NA
"580",2,93005,NA
"581",4,95252,NA
"582",3,95019,NA
"583",4,95680,NA
"584",4,77251,4
"585",1,92050,NA
"586",2,94073,NA
"587",4,95607,NA
"588",2,93077,NA
"589",4,78674,NA
"590",3,94058,NA
"591",4,78586,NA
"592",3,94038,NA
"593",3,94022,NA
"594",2,93061,NA
"595",3,94055,NA
"596",1,92075,NA
"597",3,78335,NA
"598",1,93070,NA
"599",4,95277,NA
"600",4,93078,NA
"601",3,92033,NA
"602",2,95428,NA
