IRIS2;N_logements;COM;REG;DEP;ARR;COMA;Nb_resid_princ;Nobre_RS;Nombre_log_occasionnels;NBr_loge_vacants;RP_Proprio;RPLogemnts_locatifs_vide_NonHLM;RPMeubl_chambre_hotels;RP_residPrincipLocPriv
774600000;124;77460;11;77;771;77460;100;12;0;12;76;18;0;18
774610000;141;77461;11;77;773;77461;98;39;0;4;89;6;0;6
774620000;299;77462;11;77;771;77462;258;1;12;28;123;103;0;103
774630000;1518;77463;11;77;774;77463;1229;192;5;92;985;175;15;190
774640101;1834;77464;11;77;775;77464;1647;14;16;157;693;460;11;471
774640102;912;77464;11;77;775;77464;870;11;2;29;746;101;0;101
774640103;1075;77464;11;77;775;77464;1010;12;1;52;650;102;2;104
774650000;273;77465;11;77;774;77465;238;26;0;9;201;26;1;27
774660000;171;77466;11;77;772;77466;134;26;0;11;116;8;0;8
774670000;115;77467;11;77;773;77467;85;27;2;1;73;7;0;7
774680101;555;77468;11;77;775;77468;534;3;1;17;477;30;1;31
774680102;1103;77468;11;77;775;77468;1001;9;11;82;687;192;7;199
774680103;1338;77468;11;77;775;77468;1216;6;3;113;365;134;15;149
774680104;10;77468;11;77;775;77468;8;0;1;1;7;0;0;0
774680201;786;77468;11;77;775;77468;748;1;1;36;399;33;3;36
774680202;994;77468;11;77;775;77468;923;3;2;66;480;216;0;216
774680203;869;77468;11;77;775;77468;752;2;7;108;203;102;18;120
774680204;816;77468;11;77;775;77468;748;3;9;56;249;69;35;104
774680205;817;77468;11;77;775;77468;716;1;7;93;220;99;3;102
774680206;700;77468;11;77;775;77468;633;4;6;57;215;139;10;149
774680207;7;77468;11;77;775;77468;5;0;0;2;0;2;0;2
774690000;411;77469;11;77;772;77469;348;37;0;26;280;51;2;53
774700101;876;77470;11;77;772;77470;828;1;2;45;329;52;3;55
774700102;996;77470;11;77;772;77470;920;11;6;59;544;237;9;246
774700103;955;77470;11;77;772;77470;871;3;11;70;590;182;14;196
774710000;169;77471;11;77;774;77471;136;14;0;19;115;14;2;16
774720000;211;77472;11;77;771;77472;142;47;1;21;122;12;0;12
774730000;203;77473;11;77;774;77473;165;32;0;6;137;13;1;14
774740000;224;77474;11;77;771;77474;188;15;1;20;123;42;7;49
774750000;1798;77475;11;77;771;77475;1661;28;5;104;1298;240;5;245
774760000;93;77476;11;77;771;77476;76;9;1;7;57;17;0;17
774770000;327;77477;11;77;774;77477;283;22;2;20;244;28;2;30
774780000;362;77478;11;77;771;77478;313;32;0;17;224;72;0;72
774790101;1523;77479;11;77;775;77479;1437;27;10;49;813;324;20;344
774790102;1248;77479;11;77;775;77479;1141;16;6;85;701;319;7;326
774790103;708;77479;11;77;775;77479;638;25;15;30;478;104;17;121
774790104;720;77479;11;77;775;77479;680;9;1;30;435;47;16;63
774790105;804;77479;11;77;775;77479;768;0;1;35;299;31;7;38
774800000;250;77480;11;77;772;77480;211;23;0;16;154;37;4;41
774810000;69;77481;11;77;773;77481;61;5;0;3;45;15;0;15
774820000;1360;77482;11;77;773;77482;1278;18;5;59;768;178;16;194
774830000;714;77483;11;77;771;77483;640;20;7;47;517;96;3;99
774840000;76;77484;11;77;771;77484;71;3;1;1;58;5;0;5
774850000;381;77485;11;77;774;77485;258;111;4;8;219;28;1;29
774860000;282;77486;11;77;772;77486;229;24;1;28;182;37;0;37
774870101;975;77487;11;77;772;77487;923;3;11;38;572;215;3;218
774870102;1142;77487;11;77;772;77487;1088;16;7;31;1008;50;5;55
774870103;1137;77487;11;77;772;77487;1074;12;17;34;512;115;37;152
