Annee;COM;REG;DEP;ARR;CV;ZE1990;LIBGEO;PMIMP;PTSA;PPEN;PBEN;PAUT
2001;77181;11;77;775;7735;1154;Ferrières-en-Brie;;;;;
2001;77182;11;77;773;7711;1153;Ferté-Gaucher (La);51,04;63,37;26,54;5,69;4,4
2001;77183;11;77;771;7712;1155;Ferté-sous-Jouarre (La);62,3;68,3;23,05;5,57;3,08
2001;77184;11;77;774;7716;1151;Flagy;;;;;
2001;77185;11;77;772;7732;1148;Fleury-en-Bière;;;;;
2001;77186;11;77;774;7713;1149;Fontainebleau;70,78;62,31;22,29;8,39;7,01
2001;77187;11;77;773;7701;1152;Fontaine-Fourches;;;;;
2001;77188;11;77;772;7705;1148;Fontaine-le-Port;;;;;
2001;77190;11;77;773;7723;1148;Fontains;;;;;
2001;77191;11;77;772;7722;1148;Fontenailles;;;;;
2001;77192;11;77;772;7727;1135;Fontenay-Trésigny;72,05;75;16;5,7;3,3
2001;77193;11;77;771;7709;1156;Forfry;;;;;
2001;77194;11;77;773;7720;1151;Forges;;;;;
2001;77195;11;77;772;7722;1148;Fouju;;;;;
2001;77196;11;77;771;7737;1154;Fresnes-sur-Marne;;;;;
2001;77197;11;77;773;7723;1153;Frétoy;;;;;
2001;77198;11;77;774;7703;1149;Fromont;;;;;
2001;77199;11;77;771;7731;1155;Fublaines;;;;;
2001;77200;11;77;774;7724;1150;Garentreville;;;;;
2001;77201;11;77;773;7723;1148;Gastins;;;;;
2001;77202;11;77;774;7724;1149;Genevraye (La);;;;;
2001;77203;11;77;771;7717;1155;Germigny-l'Évêque;;;;;
2001;77204;11;77;771;7715;1155;Germigny-sous-Coulombs;;;;;
2001;77205;11;77;771;7709;1155;Gesvres-le-Chapitre;;;;;
2001;77206;11;77;771;7707;1153;Giremoutiers;;;;;
2001;77207;11;77;774;7704;1150;Gironville;;;;;
2001;77208;11;77;773;7701;1152;Gouaix;;;;;
2001;77209;11;77;775;7714;1154;Gouvernes;;;;;
2001;77210;11;77;773;7720;1151;Grande-Paroisse (La);75,38;65,81;23,45;8,24;2,5
2001;77211;11;77;772;7722;1148;Grandpuits-Bailly-Carrois;;;;;
2001;77212;11;77;773;7701;1151;Gravon;;;;;
2001;77214;11;77;771;7737;1137;Gressy;;;;;
2001;77215;11;77;772;7728;1135;Gretz-Armainvilliers;72,91;74,37;18,14;4,13;3,36
2001;77216;11;77;774;7724;1150;Grez-sur-Loing;;;;;
2001;77217;11;77;772;7702;1135;Grisy-Suisnes;;;;;
2001;77218;11;77;773;7701;1152;Grisy-sur-Seine;;;;;
2001;77219;11;77;771;7707;1153;Guérard;;;;;
2001;77220;11;77;774;7703;1149;Guercheville;;;;;
2001;77221;11;77;775;7743;1154;Guermantes;;;;;
2001;77222;11;77;772;7722;1148;Guignes;72,85;75,21;14,66;7,51;2,62
2001;77223;11;77;773;7710;1152;Gurcy-le-Châtel;;;;;
2001;77224;11;77;772;7727;1135;Hautefeuille;;;;;
2001;77225;11;77;771;7708;1155;Haute-Maison (La);;;;;
2001;77226;11;77;774;7713;1149;Héricy;79,6;72,01;16,97;7,04;3,98
2001;77227;11;77;773;7701;1152;Hermé;;;;;
2001;77228;11;77;771;7726;1153;Hondevilliers;;;;;
2001;77229;11;77;772;7727;1135;Houssaye-en-Brie (La);;;;;
2001;77230;11;77;774;7704;1150;Ichy;;;;;
2001;77231;11;77;771;7715;1155;Isles-les-Meldeuses;;;;;
2001;77232;11;77;771;7731;1155;Isles-lès-Villenoy;;;;;
2001;77233;11;77;771;7737;1155;Iverny;;;;;
2001;77234;11;77;775;7743;1154;Jablines;;;;;
2001;77235;11;77;771;7715;1155;Jaignes;;;;;
2001;77236;11;77;773;7701;1152;Jaulnes;;;;;
2001;77237;11;77;775;7743;1154;Jossigny;;;;;
2001;77238;11;77;771;7712;1155;Jouarre;66,67;73,05;15,42;6,69;4,85
2001;77239;11;77;773;7723;1135;Jouy-le-Châtel;;;;;
2001;77240;11;77;773;7711;1153;Jouy-sur-Morin;;;;;
2001;77241;11;77;771;7709;1156;Juilly;;;;;
2001;77242;11;77;773;7710;1152;Jutigny;;;;;
2001;77243;11;77;775;7714;1154;Lagny-sur-Marne;74,63;75,12;17,07;4,8;3,02
